,,,Number,Type,2012,2013,2014,2015
5071,Johnson,AR,1,All Industries,578655,614614,611698,616828
5071,Johnson,AR,2,  Private goods-producing industries,219445,249098,237479,230257
5071,Johnson,AR,3,  Private services-providing industries,286549,293172,302599,316870
5071,Johnson,AR,4,  Government and government enterprises,72661,72407,71716,69796
5073,Lafayette,AR,1,All Industries,122883,141000,147550,196773
5073,Lafayette,AR,2,  Private goods-producing industries,58198,(D),(D),137369
5073,Lafayette,AR,3,  Private services-providing industries,45278,(D),(D),45843
5073,Lafayette,AR,4,  Government and government enterprises,19407,19134,19128,17931
5075,Lawrence,AR,1,All Industries,313636,328859,336843,328538
5075,Lawrence,AR,2,  Private goods-producing industries,93385,117984,118567,110034
5075,Lawrence,AR,3,  Private services-providing industries,152316,144914,152358,157540
5075,Lawrence,AR,4,  Government and government enterprises,67935,65923,65873,60586
5077,Lee,AR,1,All Industries,174313,198645,199693,193148
5077,Lee,AR,2,  Private goods-producing industries,49457,72092,70028,67156
5077,Lee,AR,3,  Private services-providing industries,76595,80486,85250,86040
5077,Lee,AR,4,  Government and government enterprises,48261,46061,44383,39964
5079,Lincoln,AR,1,All Industries,234512,260187,250005,238328
5079,Lincoln,AR,2,  Private goods-producing industries,79939,107306,100498,91994
5079,Lincoln,AR,3,  Private services-providing industries,72392,72604,71950,73446
5079,Lincoln,AR,4,  Government and government enterprises,82180,80284,77479,72386
5081,Little River,AR,1,All Industries,498522,447421,405003,341070
5081,Little River,AR,2,  Private goods-producing industries,326054,278759,239765,175711
5081,Little River,AR,3,  Private services-providing industries,122357,121548,119568,121385
5081,Little River,AR,4,  Government and government enterprises,50111,47283,45915,44004
5083,Logan,AR,1,All Industries,429941,452612,445793,470654
5083,Logan,AR,2,  Private goods-producing industries,192277,211195,208181,243856
5083,Logan,AR,3,  Private services-providing industries,159443,165388,163393,158841
5083,Logan,AR,4,  Government and government enterprises,78221,76040,74245,70474
5085,Lonoke,AR,1,All Industries,1036485,1095396,1096706,1088023
5085,Lonoke,AR,2,  Private goods-producing industries,281847,315456,301751,300911
5085,Lonoke,AR,3,  Private services-providing industries,585597,614150,631804,627388
5085,Lonoke,AR,4,  Government and government enterprises,169042,165801,163260,159929
5087,Madison,AR,1,All Industries,270693,313479,307479,304949
5087,Madison,AR,2,  Private goods-producing industries,134434,175142,(D),167683
5087,Madison,AR,3,  Private services-providing industries,98010,101096,(D),103097
5087,Madison,AR,4,  Government and government enterprises,38249,37266,35967,34201
5089,Marion,AR,1,All Industries,383695,372094,371573,463015
5089,Marion,AR,2,  Private goods-producing industries,217482,204823,208784,272731
5089,Marion,AR,3,  Private services-providing industries,132732,134903,131481,161020
5089,Marion,AR,4,  Government and government enterprises,33482,32371,31365,29806
5091,Miller,AR,1,All Industries,1199015,1094349,1056730,1018412
5091,Miller,AR,2,  Private goods-producing industries,420595,328002,290012,277628
5091,Miller,AR,3,  Private services-providing industries,640901,634101,635357,614749
5091,Miller,AR,4,  Government and government enterprises,137519,132335,131244,125905
5093,Mississippi,AR,1,All Industries,2155097,2041285,1921226,1892619
5093,Mississippi,AR,2,  Private goods-producing industries,1123834,1033520,948815,950181
5093,Mississippi,AR,3,  Private services-providing industries,867586,847363,816451,796554
5093,Mississippi,AR,4,  Government and government enterprises,163678,159182,152921,144951
5095,Monroe,AR,1,All Industries,216154,221146,212882,211338
5095,Monroe,AR,2,  Private goods-producing industries,53851,73236,68413,63840
5095,Monroe,AR,3,  Private services-providing industries,136686,123108,120335,124075
5095,Monroe,AR,4,  Government and government enterprises,25618,24583,23900,22789
5097,Montgomery,AR,1,All Industries,113913,117764,115567,110254
5097,Montgomery,AR,2,  Private goods-producing industries,26836,30275,(D),24601
5097,Montgomery,AR,3,  Private services-providing industries,56826,58108,(D),58485
5097,Montgomery,AR,4,  Government and government enterprises,30251,29393,28916,27050
5099,Nevada,AR,1,All Industries,214488,220837,229243,234504
5099,Nevada,AR,2,  Private goods-producing industries,94037,106353,115736,120844
5099,Nevada,AR,3,  Private services-providing industries,96746,91025,90945,91716
5099,Nevada,AR,4,  Government and government enterprises,23705,23431,22666,22184
5101,Newton,AR,1,All Industries,73313,78457,80130,75839
5101,Newton,AR,2,  Private goods-producing industries,16581,(D),(D),(D)
5101,Newton,AR,3,  Private services-providing industries,31301,(D),(D),(D)
5101,Newton,AR,4,  Government and government enterprises,25431,25020,24523,23507
5103,Ouachita,AR,1,All Industries,598731,608848,649798,636431
5103,Ouachita,AR,2,  Private goods-producing industries,185224,178864,190281,143302
5103,Ouachita,AR,3,  Private services-providing industries,300609,319891,354884,390244
5103,Ouachita,AR,4,  Government and government enterprises,112898,110289,105139,99469
5105,Perry,AR,1,All Industries,101627,103902,96824,105132
5105,Perry,AR,2,  Private goods-producing industries,37617,(D),(D),(D)
5105,Perry,AR,3,  Private services-providing industries,41020,(D),(D),(D)
5105,Perry,AR,4,  Government and government enterprises,22991,21417,21122,20706
5107,Phillips,AR,1,All Industries,468293,498849,482883,459991
5107,Phillips,AR,2,  Private goods-producing industries,98687,124049,117596,105295
5107,Phillips,AR,3,  Private services-providing industries,283925,292188,285014,280641
5107,Phillips,AR,4,  Government and government enterprises,85681,82565,80172,73327
5109,Pike,AR,1,All Industries,201756,214706,213964,207749
5109,Pike,AR,2,  Private goods-producing industries,51666,61883,58643,54999
5109,Pike,AR,3,  Private services-providing industries,116006,119019,122278,121281
5109,Pike,AR,4,  Government and government enterprises,34084,33795,33010,31321
5111,Poinsett,AR,1,All Industries,521451,533243,543437,543284
5111,Poinsett,AR,2,  Private goods-producing industries,151437,184703,185316,190811
5111,Poinsett,AR,3,  Private services-providing industries,297776,278682,289252,287027
5111,Poinsett,AR,4,  Government and government enterprises,72238,69646,68695,65824
5113,Polk,AR,1,All Industries,415129,420688,412677,398258
5113,Polk,AR,2,  Private goods-producing industries,143203,159608,149114,135099
5113,Polk,AR,3,  Private services-providing industries,209898,201294,204529,204574
5113,Polk,AR,4,  Government and government enterprises,62028,59794,58958,58136
5115,Pope,AR,1,All Industries,2503731,2539738,2619674,2770358
5115,Pope,AR,2,  Private goods-producing industries,537895,635986,677720,794370
5115,Pope,AR,3,  Private services-providing industries,1694842,1633473,1675818,1717700
5115,Pope,AR,4,  Government and government enterprises,270994,270386,266490,260293
5117,Prairie,AR,1,All Industries,140058,154004,156725,149351
5117,Prairie,AR,2,  Private goods-producing industries,51556,68638,69192,58613
5117,Prairie,AR,3,  Private services-providing industries,65221,63283,66316,69803
5117,Prairie,AR,4,  Government and government enterprises,23280,22032,21186,20025
5119,Pulaski,AR,1,All Industries,26338703,26907905,26961899,27484845
5119,Pulaski,AR,2,  Private goods-producing industries,2608271,3005033,3058306,2874044
5119,Pulaski,AR,3,  Private services-providing industries,18656197,18839417,18955212,19795951
5119,Pulaski,AR,4,  Government and government enterprises,5074235,5064423,4951952,4822288
5121,Randolph,AR,1,All Industries,318848,336254,339476,330982
5121,Randolph,AR,2,  Private goods-producing industries,74163,85203,86192,83969
5121,Randolph,AR,3,  Private services-providing industries,188324,193981,196704,191603
5121,Randolph,AR,4,  Government and government enterprises,56361,57051,56585,55408
5123,St. Francis,AR,1,All Industries,638792,656650,644173,641229
5123,St. Francis,AR,2,  Private goods-producing industries,111088,135327,122619,113309
5123,St. Francis,AR,3,  Private services-providing industries,359530,357806,357410,364281
5123,St. Francis,AR,4,  Government and government enterprises,168174,163480,163971,163002
5125,Saline,AR,1,All Industries,1840987,1883318,1876944,1967858
5125,Saline,AR,2,  Private goods-producing industries,336325,317299,302923,307522
5125,Saline,AR,3,  Private services-providing industries,1209539,1273043,1282415,1374428
5125,Saline,AR,4,  Government and government enterprises,295123,293126,292062,287389
5127,Scott,AR,1,All Industries,196991,226630,209303,195058
5127,Scott,AR,2,  Private goods-producing industries,98634,122404,108406,96888
5127,Scott,AR,3,  Private services-providing industries,67614,66766,64842,63182
5127,Scott,AR,4,  Government and government enterprises,30742,37363,36008,34854
5129,Searcy,AR,1,All Industries,109258,105326,100431,91605
5129,Searcy,AR,2,  Private goods-producing industries,32213,30074,29135,21966
5129,Searcy,AR,3,  Private services-providing industries,51774,51177,48429,47913
5129,Searcy,AR,4,  Government and government enterprises,25271,24090,22866,21802
5131,Sebastian,AR,1,All Industries,6453074,6454771,6519353,6221658
5131,Sebastian,AR,2,  Private goods-producing industries,1786606,1805105,1828358,1651688
5131,Sebastian,AR,3,  Private services-providing industries,4109831,4106016,4159322,4047995
5131,Sebastian,AR,4,  Government and government enterprises,556636,543750,532140,519889
5133,Sevier,AR,1,All Industries,353522,386944,378878,366862
5133,Sevier,AR,2,  Private goods-producing industries,127565,158773,147048,136312
5133,Sevier,AR,3,  Private services-providing industries,162761,166826,171279,171407
5133,Sevier,AR,4,  Government and government enterprises,63195,61413,60521,58902
5135,Sharp,AR,1,All Industries,255063,260770,256418,252240
5135,Sharp,AR,2,  Private goods-producing industries,42806,51097,48761,47619
5135,Sharp,AR,3,  Private services-providing industries,169836,167741,167345,165372
5135,Sharp,AR,4,  Government and government enterprises,42421,41917,40286,39209
5137,Stone,AR,1,All Industries,176225,180255,187434,195974
5137,Stone,AR,2,  Private goods-producing industries,36913,43091,43316,44451
5137,Stone,AR,3,  Private services-providing industries,106372,105081,112336,120356
5137,Stone,AR,4,  Government and government enterprises,32940,32063,31770,31138
5139,Union,AR,1,All Industries,3025342,3323325,3567763,2815907
5139,Union,AR,2,  Private goods-producing industries,1486390,1927125,2207620,1323036
5139,Union,AR,3,  Private services-providing industries,1387203,1245426,1214230,1287783
5139,Union,AR,4,  Government and government enterprises,151749,148241,146778,142280
5141,Van Buren,AR,1,All Industries,383114,408442,485182,768339
5141,Van Buren,AR,2,  Private goods-producing industries,142984,164091,237294,596454
5141,Van Buren,AR,3,  Private services-providing industries,199210,204055,206102,198223
5141,Van Buren,AR,4,  Government and government enterprises,40920,40137,41696,38937
5143,Washington,AR,1,All Industries,9630946,10022776,10068527,10514117
5143,Washington,AR,2,  Private goods-producing industries,1471888,1601413,1640623,1691391
5143,Washington,AR,3,  Private services-providing industries,6853090,7071750,7065376,7472521
5143,Washington,AR,4,  Government and government enterprises,1305967,1349682,1362192,1352346
5145,White,AR,1,All Industries,2208213,2118014,2131555,2184607
5145,White,AR,2,  Private goods-producing industries,691910,621855,642933,737525
5145,White,AR,3,  Private services-providing industries,1299340,1280749,1278252,1239515
5145,White,AR,4,  Government and government enterprises,216963,215671,210598,207491
5147,Woodruff,AR,1,All Industries,171906,174357,166812,164189
5147,Woodruff,AR,2,  Private goods-producing industries,61628,62899,55963,54495
5147,Woodruff,AR,3,  Private services-providing industries,81113,83924,83005,84057
5147,Woodruff,AR,4,  Government and government enterprises,29165,27561,27634,25429
5149,Yell,AR,1,All Industries,473010,549704,474537,451027
5149,Yell,AR,2,  Private goods-producing industries,194320,230831,218050,196311
5149,Yell,AR,3,  Private services-providing industries,198320,239274,176806,177444
5149,Yell,AR,4,  Government and government enterprises,80370,79673,79529,76881
6001,Alameda,CA,1,All Industries,93795276,97646410,102214628,106058748
6001,Alameda,CA,2,  Private goods-producing industries,15313173,16393107,16758875,18544366
6001,Alameda,CA,3,  Private services-providing industries,66600579,69056783,72828493,74480820
6001,Alameda,CA,4,  Government and government enterprises,11881524,12198241,12636175,13019343
6003,Alpine,CA,1,All Industries,91253,80465,80855,97842
6003,Alpine,CA,2,  Private goods-producing industries,2435,2061,(D),1631
6003,Alpine,CA,3,  Private services-providing industries,70131,58448,(D),76337
6003,Alpine,CA,4,  Government and government enterprises,18686,19920,19719,20067
6005,Amador,CA,1,All Industries,1106242,1155937,1151793,1227219
6005,Amador,CA,2,  Private goods-producing industries,193552,214712,214620,215051
6005,Amador,CA,3,  Private services-providing industries,566794,606821,603739,660828
6005,Amador,CA,4,  Government and government enterprises,345896,334702,333728,351686
6007,Butte,CA,1,All Industries,6399648,6647096,6631987,7035257
6007,Butte,CA,2,  Private goods-producing industries,1018314,1127842,1203254,1276345
6007,Butte,CA,3,  Private services-providing industries,4272030,4414320,4304230,4567105
6007,Butte,CA,4,  Government and government enterprises,1109304,1105026,1124215,1191688
6009,Calaveras,CA,1,All Industries,771457,786451,739709,774564
6009,Calaveras,CA,2,  Private goods-producing industries,115570,119197,112207,110910
6009,Calaveras,CA,3,  Private services-providing industries,463072,472203,433627,460342
6009,Calaveras,CA,4,  Government and government enterprises,192815,195057,193703,203348
6011,Colusa,CA,1,All Industries,1133356,1162047,1193557,1369343
6011,Colusa,CA,2,  Private goods-producing industries,361633,386284,410320,420851
6011,Colusa,CA,3,  Private services-providing industries,625696,627207,633921,791048
6011,Colusa,CA,4,  Government and government enterprises,146026,148570,149948,151571
6013,Contra Costa,CA,1,All Industries,62121185,63638925,69050124,73101768
6013,Contra Costa,CA,2,  Private goods-producing industries,19518050,19076561,22483790,22301776
6013,Contra Costa,CA,3,  Private services-providing industries,37999850,39879509,42045763,45920944
6013,Contra Costa,CA,4,  Government and government enterprises,4603284,4635650,4691814,4786144
6015,Del Norte,CA,1,All Industries,599490,590815,576393,602992
6015,Del Norte,CA,2,  Private goods-producing industries,60981,63909,56108,53247
6015,Del Norte,CA,3,  Private services-providing industries,262543,260914,256368,274427
6015,Del Norte,CA,4,  Government and government enterprises,275966,266029,263909,275234
6017,El Dorado,CA,1,All Industries,5524161,5558227,5892735,6205471
6017,El Dorado,CA,2,  Private goods-producing industries,693923,704701,709732,774063
6017,El Dorado,CA,3,  Private services-providing industries,4018835,4018052,4315718,4545081
6017,El Dorado,CA,4,  Government and government enterprises,811403,835275,868250,887135
6019,Fresno,CA,1,All Industries,33775353,35821729,37248432,39293696
6019,Fresno,CA,2,  Private goods-producing industries,7655334,8343048,9254319,10192967
6019,Fresno,CA,3,  Private services-providing industries,20542143,21884893,22263722,23206037
6019,Fresno,CA,4,  Government and government enterprises,5577877,5595177,5738293,5936648
6021,Glenn,CA,1,All Industries,806251,875717,945856,1008700
6021,Glenn,CA,2,  Private goods-producing industries,345656,384678,446503,492040
6021,Glenn,CA,3,  Private services-providing industries,303661,334853,345699,356679
6021,Glenn,CA,4,  Government and government enterprises,156934,156237,154680,163072
6023,Humboldt,CA,1,All Industries,3846207,3911804,3949695,4028873
6023,Humboldt,CA,2,  Private goods-producing industries,565011,572679,559488,573280
6023,Humboldt,CA,3,  Private services-providing industries,2326975,2384022,2424112,2462934
6023,Humboldt,CA,4,  Government and government enterprises,954220,955252,966877,993137
6025,Imperial,CA,1,All Industries,5696268,5903167,6311204,6654586
6025,Imperial,CA,2,  Private goods-producing industries,1439309,1447606,1575655,1725822
6025,Imperial,CA,3,  Private services-providing industries,2550285,2764238,3049468,3200215
6025,Imperial,CA,4,  Government and government enterprises,1706674,1691665,1687991,1738785
6027,Inyo,CA,1,All Industries,910652,876413,857373,859144
6027,Inyo,CA,2,  Private goods-producing industries,178292,162866,152122,139607
6027,Inyo,CA,3,  Private services-providing industries,472159,453043,444634,458041
6027,Inyo,CA,4,  Government and government enterprises,260201,260580,260711,259763
6029,Kern,CA,1,All Industries,39340854,40163210,42169380,43532130
6029,Kern,CA,2,  Private goods-producing industries,14767089,14764439,15802014,16451507
6029,Kern,CA,3,  Private services-providing industries,18409966,19343515,20238665,20729420
6029,Kern,CA,4,  Government and government enterprises,6163799,6058546,6137507,6346345
6031,Kings,CA,1,All Industries,5078462,5147671,5526064,5715967
6031,Kings,CA,2,  Private goods-producing industries,1571822,1673133,1940423,2162264
6031,Kings,CA,3,  Private services-providing industries,1453328,1463578,1519504,1568700
6031,Kings,CA,4,  Government and government enterprises,2053312,2010930,2070088,2007876
6033,Lake,CA,1,All Industries,1337816,1368058,1394350,1437404
6033,Lake,CA,2,  Private goods-producing industries,193229,195941,209686,219900
6033,Lake,CA,3,  Private services-providing industries,884222,905859,913806,934287
6033,Lake,CA,4,  Government and government enterprises,260365,266260,270940,283382
6035,Lassen,CA,1,All Industries,989373,984980,1012903,1060366
6035,Lassen,CA,2,  Private goods-producing industries,129503,152321,187689,224475
6035,Lassen,CA,3,  Private services-providing industries,264114,272359,277010,288880
6035,Lassen,CA,4,  Government and government enterprises,595757,560339,549641,553496
6037,Los Angeles,CA,1,All Industries,593671075,605923302,630438094,656048822
6037,Los Angeles,CA,2,  Private goods-producing industries,70641406,73149569,73168507,74605898
6037,Los Angeles,CA,3,  Private services-providing industries,464547602,474206688,497054545,519394656
6037,Los Angeles,CA,4,  Government and government enterprises,58482067,58580183,60236182,62059803
6039,Madera,CA,1,All Industries,4438122,4599266,4996808,5320912
6039,Madera,CA,2,  Private goods-producing industries,1633856,1742006,1926416,2012314
6039,Madera,CA,3,  Private services-providing industries,2010428,2072347,2269882,2528764
6039,Madera,CA,4,  Government and government enterprises,793838,785005,802335,780967
6041,Marin,CA,1,All Industries,17934235,18144438,19394896,19692563
6041,Marin,CA,2,  Private goods-producing industries,1105931,1194944,1400360,1612917
6041,Marin,CA,3,  Private services-providing industries,15195979,15308701,16329197,16337703
6041,Marin,CA,4,  Government and government enterprises,1632324,1640354,1663610,1730313
6043,Mariposa,CA,1,All Industries,445506,429820,428409,433494
6043,Mariposa,CA,2,  Private goods-producing industries,32697,33343,34871,34555
6043,Mariposa,CA,3,  Private services-providing industries,249851,241141,238102,239625
6043,Mariposa,CA,4,  Government and government enterprises,162959,155333,155429,159315
6045,Mendocino,CA,1,All Industries,2481677,2524118,2530707,2608117
6045,Mendocino,CA,2,  Private goods-producing industries,533566,548574,538260,536057
6045,Mendocino,CA,3,  Private services-providing industries,1466839,1495462,1505632,1574187
6045,Mendocino,CA,4,  Government and government enterprises,481272,480117,487024,498688
6047,Merced,CA,1,All Industries,6707751,7096096,7746182,7863092
6047,Merced,CA,2,  Private goods-producing industries,2605037,2944625,3329922,3598738
6047,Merced,CA,3,  Private services-providing industries,2756538,2796144,3009376,2762617
6047,Merced,CA,4,  Government and government enterprises,1346176,1355371,1410859,1524935
6049,Modoc,CA,1,All Industries,212855,219035,226726,233087
6049,Modoc,CA,2,  Private goods-producing industries,51522,58418,60996,62719
6049,Modoc,CA,3,  Private services-providing industries,71878,73358,77963,85885
6049,Modoc,CA,4,  Government and government enterprises,89455,87253,87785,84597
6051,Mono,CA,1,All Industries,662764,675265,673495,658764
6051,Mono,CA,2,  Private goods-producing industries,56272,52619,50513,50854
6051,Mono,CA,3,  Private services-providing industries,425325,442247,445587,433930
6051,Mono,CA,4,  Government and government enterprises,181168,180451,177494,174099
6053,Monterey,CA,1,All Industries,20011213,19964370,20302660,20934794
6053,Monterey,CA,2,  Private goods-producing industries,5131338,4933738,5354125,5587952
6053,Monterey,CA,3,  Private services-providing industries,10590059,10832597,10777477,11088583
6053,Monterey,CA,4,  Government and government enterprises,4289816,4199216,4175165,4267632
6055,Napa,CA,1,All Industries,7595001,7538681,7866894,8263763
6055,Napa,CA,2,  Private goods-producing industries,2446556,2418913,2567268,2691616
6055,Napa,CA,3,  Private services-providing industries,4251949,4198021,4363732,4587967
6055,Napa,CA,4,  Government and government enterprises,896496,921446,935828,984146
6057,Nevada,CA,1,All Industries,3525492,3526934,3729800,3421642
6057,Nevada,CA,2,  Private goods-producing industries,677408,649535,658895,650350
6057,Nevada,CA,3,  Private services-providing industries,2379078,2381721,2576508,2255867
6057,Nevada,CA,4,  Government and government enterprises,469007,495468,495234,513097
6059,Orange,CA,1,All Industries,216205203,219574913,226451065,243513331
6059,Orange,CA,2,  Private goods-producing industries,31275958,32615962,33148282,34590207
6059,Orange,CA,3,  Private services-providing industries,170266880,172249517,178396422,193527171
6059,Orange,CA,4,  Government and government enterprises,14662364,14711256,14915181,15428461
6061,Placer,CA,1,All Industries,15998697,16875788,17660160,18924445
6061,Placer,CA,2,  Private goods-producing industries,2038285,2195192,2385465,2624499
6061,Placer,CA,3,  Private services-providing industries,12428582,13158805,13705670,14669935
6061,Placer,CA,4,  Government and government enterprises,1531831,1522753,1570255,1632738
6063,Plumas,CA,1,All Industries,699250,733450,654761,650139
6063,Plumas,CA,2,  Private goods-producing industries,99971,102245,95714,97678
6063,Plumas,CA,3,  Private services-providing industries,417509,453633,378288,365485
6063,Plumas,CA,4,  Government and government enterprises,181769,177655,180744,186902
6065,Riverside,CA,1,All Industries,61827909,64611066,65773194,67115211
6065,Riverside,CA,2,  Private goods-producing industries,11850458,12486131,12859525,13069300
6065,Riverside,CA,3,  Private services-providing industries,39522376,41452759,41873747,42563722
6065,Riverside,CA,4,  Government and government enterprises,10455076,10674159,11035892,11471385
6067,Sacramento,CA,1,All Industries,68329118,70547534,73016727,75231340
6067,Sacramento,CA,2,  Private goods-producing industries,6071895,6499288,6673954,7125356
6067,Sacramento,CA,3,  Private services-providing industries,42527546,43878012,45562185,47193703
6067,Sacramento,CA,4,  Government and government enterprises,19729677,20172240,20785560,20931206
6069,San Benito,CA,1,All Industries,1611342,1633799,1666298,1779654
6069,San Benito,CA,2,  Private goods-producing industries,673033,657592,669135,727541
6069,San Benito,CA,3,  Private services-providing industries,698903,735146,740644,781113
6069,San Benito,CA,4,  Government and government enterprises,239405,241156,256380,270829
6071,San Bernardino,CA,1,All Industries,63540956,64867369,67110682,69415314
6071,San Bernardino,CA,2,  Private goods-producing industries,8858196,9011796,9250714,9967393
6071,San Bernardino,CA,3,  Private services-providing industries,41705948,42963938,44848447,46136713
6071,San Bernardino,CA,4,  Government and government enterprises,12976812,12893663,13019432,13314910
6073,San Diego,CA,1,All Industries,191216801,195614415,198127230,200816935
6073,San Diego,CA,2,  Private goods-producing industries,22015046,24277426,24629593,25659023
6073,San Diego,CA,3,  Private services-providing industries,129744529,132371582,134269522,135474032
6073,San Diego,CA,4,  Government and government enterprises,39457226,38970206,39234692,39692483
6075,San Francisco,CA,1,All Industries,119746763,126799443,134306675,143232623
6075,San Francisco,CA,2,  Private goods-producing industries,4378559,4688456,5225288,5626361
6075,San Francisco,CA,3,  Private services-providing industries,102414676,108808366,115705585,123951336
6075,San Francisco,CA,4,  Government and government enterprises,12953529,13305072,13389475,13682392
6077,San Joaquin,CA,1,All Industries,21697175,22441453,23168104,24997915
6077,San Joaquin,CA,2,  Private goods-producing industries,4277922,4563435,4887024,5371409
6077,San Joaquin,CA,3,  Private services-providing industries,14138554,14608396,14924483,15901898
6077,San Joaquin,CA,4,  Government and government enterprises,3280699,3270047,3356506,3722631
6079,San Luis Obispo,CA,1,All Industries,12511046,13333995,13459659,14327180
6079,San Luis Obispo,CA,2,  Private goods-producing industries,1776544,1907426,1999852,2097503
6079,San Luis Obispo,CA,3,  Private services-providing industries,8915589,9615382,9633274,10350828
6079,San Luis Obispo,CA,4,  Government and government enterprises,1818913,1812244,1828613,1881105
6081,San Mateo,CA,1,All Industries,78166257,88815505,88822545,94144961
6081,San Mateo,CA,2,  Private goods-producing industries,11020113,14510731,14671479,14947035
6081,San Mateo,CA,3,  Private services-providing industries,63804352,70939719,70702478,75545281
6081,San Mateo,CA,4,  Government and government enterprises,3341792,3371119,3451271,3665531
6083,Santa Barbara,CA,1,All Industries,21854525,22293846,22890895,23965152
6083,Santa Barbara,CA,2,  Private goods-producing industries,4262402,4392624,4650605,5223725
6083,Santa Barbara,CA,3,  Private services-providing industries,14008512,14287860,14535977,15000459
6083,Santa Barbara,CA,4,  Government and government enterprises,3583610,3613672,3706501,3765908
6085,Santa Clara,CA,1,All Industries,195550832,211406180,229539584,254916308
6085,Santa Clara,CA,2,  Private goods-producing industries,55682457,59129774,63398533,70147951
6085,Santa Clara,CA,3,  Private services-providing industries,130284946,142550077,156101591,174456140
6085,Santa Clara,CA,4,  Government and government enterprises,9583429,9724269,10035555,10339679
6087,Santa Cruz,CA,1,All Industries,10606613,11205365,11506354,11736759
6087,Santa Cruz,CA,2,  Private goods-producing industries,2624441,2877422,2851502,2599594
6087,Santa Cruz,CA,3,  Private services-providing industries,6427469,6743767,7007254,7467692
6087,Santa Cruz,CA,4,  Government and government enterprises,1554703,1584518,1648052,1666860
6089,Shasta,CA,1,All Industries,5844376,5889949,5894232,6063237
6089,Shasta,CA,2,  Private goods-producing industries,603557,627540,632435,664545
6089,Shasta,CA,3,  Private services-providing industries,4224707,4246660,4206752,4315736
6089,Shasta,CA,4,  Government and government enterprises,1016113,1015598,1054313,1081921
6091,Sierra,CA,1,All Industries,52185,47224,49120,49921
6091,Sierra,CA,2,  Private goods-producing industries,7075,6920,(D),9878
6091,Sierra,CA,3,  Private services-providing industries,18640,16333,(D),15174
6091,Sierra,CA,4,  Government and government enterprises,26470,23969,23756,24986
6093,Siskiyou,CA,1,All Industries,1077938,1113406,1181637,1268932
6093,Siskiyou,CA,2,  Private goods-producing industries,168685,187742,201889,209579
6093,Siskiyou,CA,3,  Private services-providing industries,614855,634546,682903,741677
6093,Siskiyou,CA,4,  Government and government enterprises,294398,291021,296839,317553
6095,Solano,CA,1,All Industries,20319752,20373391,20317810,19820267
6095,Solano,CA,2,  Private goods-producing industries,6437401,6767266,6782176,6681849
6095,Solano,CA,3,  Private services-providing industries,10466438,10201092,10112047,9719667
6095,Solano,CA,4,  Government and government enterprises,3415913,3405755,3424013,3417268
6097,Sonoma,CA,1,All Industries,20941027,21556746,22243227,23644510
6097,Sonoma,CA,2,  Private goods-producing industries,4504065,4705357,4765726,5015811
6097,Sonoma,CA,3,  Private services-providing industries,14121297,14499945,15036631,16105952
6097,Sonoma,CA,4,  Government and government enterprises,2315665,2351654,2441239,2525576
6099,Stanislaus,CA,1,All Industries,17039050,17315090,18078304,19106318
6099,Stanislaus,CA,2,  Private goods-producing industries,5065538,5033106,5449137,6038183
6099,Stanislaus,CA,3,  Private services-providing industries,9805527,10086370,10387222,10710513
6099,Stanislaus,CA,4,  Government and government enterprises,2167985,2196069,2243693,2367114
6101,Sutter,CA,1,All Industries,2792070,2857653,3038759,3145558
6101,Sutter,CA,2,  Private goods-producing industries,601425,650590,718763,795243
6101,Sutter,CA,3,  Private services-providing industries,1844973,1847978,1950923,1978593
6101,Sutter,CA,4,  Government and government enterprises,345672,358806,369401,377126
6103,Tehama,CA,1,All Industries,1301677,1386866,1441237,1509569
6103,Tehama,CA,2,  Private goods-producing industries,320736,369823,389766,424992
6103,Tehama,CA,3,  Private services-providing industries,733623,752699,782665,806857
6103,Tehama,CA,4,  Government and government enterprises,247318,263704,268054,276992
6105,Trinity,CA,1,All Industries,273210,274544,251388,242017
6105,Trinity,CA,2,  Private goods-producing industries,31600,35193,32427,33750
6105,Trinity,CA,3,  Private services-providing industries,142399,142230,124753,120001
6105,Trinity,CA,4,  Government and government enterprises,99210,97053,94156,88057
6107,Tulare,CA,1,All Industries,13225789,13314742,13800945,14799320
6107,Tulare,CA,2,  Private goods-producing industries,4660974,4877288,5263902,5603028
6107,Tulare,CA,3,  Private services-providing industries,6139244,5979091,6073525,6649406
6107,Tulare,CA,4,  Government and government enterprises,2425570,2457278,2466901,2551076
6109,Tuolumne,CA,1,All Industries,1726026,1788185,1698603,1805222
6109,Tuolumne,CA,2,  Private goods-producing industries,167516,170031,160821,167820
6109,Tuolumne,CA,3,  Private services-providing industries,1162386,1221682,1114848,1210347
6109,Tuolumne,CA,4,  Government and government enterprises,396124,396591,422615,427108
6111,Ventura,CA,1,All Industries,46895460,48323330,49269559,49958196
6111,Ventura,CA,2,  Private goods-producing industries,16276856,17371518,17522777,17587397
6111,Ventura,CA,3,  Private services-providing industries,25525164,25917184,26648825,27101442
6111,Ventura,CA,4,  Government and government enterprises,5093440,5033102,5098142,5265074
6113,Yolo,CA,1,All Industries,10117496,10598951,11230236,11869179
6113,Yolo,CA,2,  Private goods-producing industries,1497360,1561565,1716942,1888808
6113,Yolo,CA,3,  Private services-providing industries,5071917,5355939,5667476,6009382
6113,Yolo,CA,4,  Government and government enterprises,3548219,3681837,3847301,3977470
6115,Yuba,CA,1,All Industries,2319728,2360912,2302932,2241566
